숙소번호,모텔명,주소,추천여부_3,추천여부_2,추천여부_최종,전체평점,평점/친절도,평점/청결도,평점/편의성,평점/주변여행,평점순/친절도순,평점순/청결도순,평점순/편의성순,평점순/주변여행순
31,구례 리틀프린스펜션,전라남도 구례군 마산면 화엄사로 386-9,매우완전추천,완전추천,4,4.6,4.5,4.4,4.4,4.9,4.54,4.53,4.53,4.59
32,순천 순천만정문펜션,전라남도 순천시 순천만길 492,매우완전추천,완전추천,4,4.7,4.7,4.3,4,4,4.3,4.26,4.22,4.22
33,구례 지리산풍경채펜션,전라남도 구례군 토지면 당치길 89,매우완전추천,보통추천,2,4.9,4.6,4.8,4.1,4.4,4.49,4.51,4.43,4.47
34,순천 최가네한옥펜션,전라남도 순천시 낙안면 조정래길 788,매우완전추천,보통추천,2,3,4.5,3.5,3.5,4.5,4.06,3.94,3.94,4.06
35,순천 순천만힐링캠프펜션,전라남도 순천시 해룡면 해창길 15,매우완전추천,보통추천,2,4,5,3.3,4.3,3.7,4.18,3.99,4.1,4.03
36,순천 순천만에코빌리지2펜션,전라남도 순천시 순천만길 704 2동,매우완전추천,보통추천,2,5,4.8,5,5,5,4.93,4.96,4.96,4.96
37,순천 오롯하다키즈풀빌라,전라남도 순천시 주암면 주암호길 27,매우완전추천,보통추천,2,4.5,4.8,4.5,4.5,4.2,4.53,4.5,4.5,4.47
38,순천 순천만갈대밭펜션,전라남도 순천시 순천만길 656,보통추천,비추천,2,1.7,2.3,1.7,1.7,4,2.41,2.34,2.34,2.6
39,구례 햇살좋은아침펜션,전라남도 구례군 토지면 섬진강대로4310-39,매우완전추천,완전추천,4,4.8,4.8,4.8,4.7,4.8,4.78,4.78,4.77,4.78
40,순천 사계절해오름펜션,전라남도 순천시 낙안면 조정래길 786-4,매우완전추천,보통추천,2,4.8,5,4.4,4.6,4.6,4.69,4.62,4.64,4.64
41,구례 예다향펜션,전라남도 구례군 간전면 거석길 6,매우완전추천,완전추천,4,4.6,5,4.6,4.4,4.7,4.71,4.67,4.64,4.68
42,구례 지리산봉쥬르펜션,전라남도 구례군 토지면 섬진강대로 4310-20봉쥬르펜션,매우완전추천,보통추천,2,4.4,4.7,4.5,4.1,4.5,4.48,4.46,4.41,4.46
43,구례 민들레여행펜션,전라남도 구례군 토지면 섬진강대로 4310-23,매우완전추천,완전추천,4,4.9,4.9,4.8,5,5,4.92,4.91,4.93,4.93
44,순천 JNJ빌리지펜션,전라남도 순천시 해룡면 해룡로817-13,매우완전추천,보통추천,2,4.5,5,5,4.5,5,4.89,4.89,4.83,4.89
45,순천 순천만쉼표펜션,전라남도 순천시 순천만길 726-15,완전추천,보통추천,2,4.2,4.4,4.2,4.1,4.3,4.27,4.24,4.23,4.26
46,순천 행복한하루펜션,전라남도 순천시 대대2길 46-9,매우완전추천,완전추천,4,5,5,5,5,5,5,5,5,5
47,순천 순천만예랑펜션,전라남도 순천시 해룡면 해룡로 684-13,완전추천,완전추천,3,4.8,4.8,5,4.6,4.6,4.76,4.78,4.73,4.73
48,구례 산수유꽃담길펜션,전라남도 구례군 산동면 평촌길 28-20,완전추천,완전추천,3,5,5,5,5,5,5,5,5,5
49,순천 순천만풀리조트,전라남도 순천시 상사면 우산보길 62,매우완전추천,비추천,2,4.3,4.3,4.5,4.5,4.7,4.48,4.5,4.5,4.52
50,담양 메테오라펜션,전라남도 담양군 담양읍 메타프로방스1길 70메테오라펜션,완전추천,보통추천,2,4.7,5,4.7,4.8,4.8,4.84,4.81,4.82,4.82
51,담양 메타펜션,전라남도 담양군 담양읍 메타프로방스3길 4-6,완전추천,비추천,2,4,4,4.1,4.1,4.6,4.18,4.19,4.19,4.24
52,담양 JK쉼펜션,전라남도 담양군 용면 금성산성길 475,매우완전추천,비추천,2,3.4,3.8,3.4,3.4,3.6,3.58,3.53,3.53,3.56
